,WALCL,RRP,TGA,BTC,OIL,DXY,GOLD,HYG,SPY,MOVE,US10Y,VIX
2024-12-31,6885963.0,473.46,764770.0,93429.203125,71.72000122070312,108.48999786376953,2629.199951171875,78.6500015258789,586.0800170898438,98.80000305175781,4.572999954223633,17.350000381469727
2025-01-01,6852491.0,473.46,719873.0,94419.7578125,71.72000122070312,108.48999786376953,2629.199951171875,78.6500015258789,586.0800170898438,98.80000305175781,4.572999954223633,17.350000381469727
2025-01-02,6852491.0,239.858,719873.0,96886.875,73.12999725341797,109.38999938964844,2658.89990234375,78.83999633789062,584.6400146484375,96.66999816894531,4.574999809265137,17.93000030517578
2025-01-03,6852491.0,237.377,719873.0,98107.4296875,73.95999908447266,108.94999694824219,2645.0,78.95999908447266,591.9500122070312,93.3499984741211,4.5960001945495605,16.1299991607666
2025-01-04,6852491.0,237.377,719873.0,98236.2265625,73.95999908447266,108.94999694824219,2645.0,78.95999908447266,591.9500122070312,93.3499984741211,4.5960001945495605,16.1299991607666
2025-01-05,6852491.0,237.377,719873.0,98314.9609375,73.95999908447266,108.94999694824219,2645.0,78.95999908447266,591.9500122070312,93.3499984741211,4.5960001945495605,16.1299991607666
2025-01-06,6852491.0,231.926,719873.0,102078.0859375,73.55999755859375,108.26000213623047,2638.39990234375,79.0999984741211,595.3599853515625,97.88999938964844,4.618000030517578,16.040000915527344
2025-01-07,6852491.0,208.296,719873.0,96922.703125,74.25,108.54000091552734,2656.699951171875,78.83999633789062,588.6300048828125,102.77999877929688,4.683000087738037,17.81999969482422
2025-01-08,6853554.0,185.144,652636.0,95043.5234375,73.31999969482422,109.08999633789062,2664.5,78.94000244140625,589.489990234375,100.76000213623047,4.692999839782715,17.700000762939453
2025-01-09,6853554.0,168.225,652636.0,92484.0390625,73.91999816894531,109.18000030517578,2683.800048828125,78.94000244140625,589.489990234375,100.76000213623047,4.692999839782715,17.700000762939453
2025-01-10,6853554.0,178.8,652636.0,94701.453125,76.56999969482422,109.6500015258789,2708.5,78.52999877929688,580.489990234375,96.56999969482422,4.776000022888184,19.540000915527344
2025-01-11,6853554.0,178.8,652636.0,94566.59375,76.56999969482422,109.6500015258789,2708.5,78.52999877929688,580.489990234375,96.56999969482422,4.776000022888184,19.540000915527344
2025-01-12,6853554.0,178.8,652636.0,94488.4375,76.56999969482422,109.6500015258789,2708.5,78.52999877929688,580.489990234375,96.56999969482422,4.776000022888184,19.540000915527344
2025-01-13,6853554.0,183.669,652636.0,94516.5234375,78.81999969482422,109.95999908447266,2673.5,78.51000213623047,581.3900146484375,103.51000213623047,4.802999973297119,19.190000534057617
2025-01-14,6853554.0,160.219,652636.0,96534.046875,77.5,109.2699966430664,2677.5,78.61000061035156,582.1900024414062,101.98999786376953,4.788000106811523,18.709999084472656
2025-01-15,6834070.0,119.977,641225.0,100504.4921875,80.04000091552734,109.08999633789062,2712.5,79.30000305175781,592.780029296875,93.0999984741211,4.6529998779296875,16.1200008392334
